Word,POS Tag,Frequency
mantap,VERB,2
mantul,PROPN,2
masa,NOUN,2
hehe,NOUN,2
hebat,ADJ,2
Biar,PROPN,2
jg,ADV,2
trimakasih,NOUN,2
top,PROPN,2
lgi,NUM,2
klikDokter,NOUN,2
kista,NOUN,2
klikDokter,NUM,2
klikdokter,PROPN,2
klikdokter,VERB,2
klu,NOUN,2
kesalahan,NOUN,2
kondisi,NOUN,2
&,NOUN,2
konsultasi,PROPN,2
konsumen,NOUN,2
keluarga,NOUN,2
ku,NOUN,2
laen,NOUN,2
lah,ADJ,2
lah,NOUN,2
lah,X,2
kaum,NOUN,2
(,PUNCT,2
kasi,VERB,2
Bagusss,PROPN,2
kan,X,2
kalian,PRON,2
kali,NOUN,2
trimakasih,PROPN,2
hari,NOUN,2
medis,ADJ,2
octavia,PROPN,2
disaat,NOUN,2
mulai,VERB,2
ndak,NOUN,2
ne,NOUN,2
tingkatkan,VERB,2
dg,ADP,2
ngebantu,NOUN,2
ngebantu,NUM,2
ngebug,NOUN,2
ngga,NOUN,2
ni,PROPN,2
y,NOUN,2
nice,NOUN,2
3,NUM,2
dah,PROPN,2
d,NOUN,2
d,ADP,2
nomor,NOUN,2
cpt,NUM,2
ny,NOUN,2
chatnya,NUM,2
chatnya,NOUN,2
chat,PROPN,2
was,PROPN,2
tindakan,NOUN,2
obatnya,NOUN,2
digunakan,VERB,2
usah,NOUN,2
hal,NOUN,2
menolong,VERB,2
melakukan,VERB,2
memakai,VERB,2
yah,VERB,2
gampang,NOUN,2
gak,VERB,2
membutuhkan,VERB,2
gabisa,NOUN,2
ga,X,2
g,PROPN,2
full,NOUN,2
foto,NOUN,2
mempermudah,VERB,2
menarik,VERB,2
dwonload,NOUN,2
dunia,NOUN,2
Cara,ADP,2
dr,DET,2
mengatasi,VERB,2
download,VERB,2
mengerti,VERB,2
Chatnya,PROPN,2
dokter.semoga,NOUN,2
mengobati,VERB,2
Coba,PROPN,2
dok,PROPN,2
menyerang,VERB,2
BAGUS,ADJ,2
Susah,PROPN,2
Trima,NOUN,2
terimakasih,NOUN,2
sayang,NOUN,2
Sehat,NOUN,2
Memberikan,VERB,2
Klikdokter,PROPN,2
Memuaskan,VERB,2
Klikdokter,NUM,2
Aneh,PROPN,2
The,PROPN,2
App,PROPN,2
Menarik,NOUN,2
so,PROPN,2
tahu,VERB,2
santunan,NOUN,2
ulasan,NOUN,2
Harus,ADV,2
Kasih,NOUN,2
Mudah,NOUN,2
smoga,NOUN,2
SEKALI,ADV,2
tanggap,VERB,2
Responnya,NOUN,2
Udah,NOUN,2
serius,ADJ,2
RS,PROPN,2
skrg,NOUN,2
Fitur,NOUN,2
terpercaya,ADJ,2
sesi,NOUN,2
sesuai,ADP,2
susah,ADJ,2
GOKIL,NUM,2
Terima,ADV,2
Gak,X,2
sekarang,NOUN,2
Mantab,PROPN,2
selain,ADP,2
Mantaf,PROPN,2
Gratis,ADJ,2
Apalagi,ADV,2
Maju,NOUN,2
sehari,NOUN,2
udah,PROPN,2
MENDING,VERB,2
segera,ADV,2
selesai,VERB,2
segala,DET,2
suatu,DET,2
Sya,PROPN,2
seluruh,DET,2
Mantul,PROPN,2
terdekat,ADJ,2
Luar,NOUN,2
Senang,PROPN,2
Semua,DET,2
sebagai,ADP,2
Mau,X,2
Like,PROPN,2
Gak,PROPN,2
Lebih,ADV,2
terbaru,ADJ,2
Terbaik,PROPN,2
Semoga,CONJ,2
Jd,PROPN,2
Mantaap,PROPN,2
Ya,X,2
saat,ADP,2
robot,NOUN,2
Ingin,ADV,2
skali,NOUN,2
responsif,ADJ,2
ringan,ADJ,2
tdk,NOUN,2
adalah,VERB,2
aj,PROPN,2
Pas,PROPN,2
skali,PROPN,2
Indonesia,PROPN,2
OK,PROPN,2
respont,NUM,2
INI,PROPN,2
Is,PROPN,2
I,PROPN,2
skli,PROPN,2
terima,NOUN,2
Jawaban,NOUN,2
Jam,NOUN,2
Hebat,PROPN,2
markotop,NUM,1
yaa,NOUN,1
menghemat,VERB,1
mantapkeren,PROPN,1
mb,PROPN,1
sini,NOUN,1
maupun,CONJ,1
menghilang,VERB,1
special,NOUN,1
mantapp,ADJ,1
mebantu,VERB,1
sipp,NUM,1
sore,NOUN,1
menghitung,VERB,1
terdekatpun,NOUN,1
medis,NOUN,1
terhenti,VERB,1
melanggar,VERB,1
somoga,NOUN,1
sombong,NOUN,1
